Worker:2
Weekend:0
Worker:8
Weekend:5
0 0 0 0 0 0 0    0 0 0 0 1 0 0    0 0 0 0 2 0 0    0 0 3 0 3 0 0    0 0 0 0 0 0 0    
0 0 0 0 0 0 0    1 0 3 0 0 0 0    0 0 3 0 0 0 0    0 0 0 0 0 0 0    0 0 0 0 0 0 0    
0 0 3 0 0 0 0    0 0 0 0 0 0 0    0 0 0 0 0 0 0    0 0 0 0 0 0 0    3 0 3 0 0 0 0    
0 0 0 3 0 0 0    0 0 0 3 0 0 0    0 0 0 3 0 0 0    0 0 0 3 0 0 0    0 0 0 1 3 0 0    


**************************************************************************************
Worker:9
Weekend:4
0 0 0 0 0 0 0    0 0 0 0 0 0 0    0 0 0 0 0 0 0    0 0 0 0 0 3 3    0 0 0 0 0 0 0    
0 0 0 0 3 0 0    0 0 0 0 0 0 0    0 0 0 0 0 0 0    0 0 0 0 0 0 0    0 0 0 0 0 0 0    
3 0 0 3 0 0 0    3 0 0 3 0 0 0    3 0 0 0 3 0 0    3 0 0 3 0 0 0    0 0 0 3 0 0 0    
0 0 3 0 0 0 0    0 0 3 0 0 0 0    0 0 3 0 0 0 0    0 0 3 0 3 0 0    0 0 1 0 0 0 0    


**************************************************************************************
Worker:12
Weekend:4
0 1 0 0 3 0 0    1 0 0 0 2 0 0    2 0 0 0 1 0 0    0 3 0 3 0 0 0    3 0 0 0 0 0 0    
0 0 0 0 0 0 0    0 3 3 0 0 0 0    0 0 0 0 0 0 0    0 0 3 0 0 0 0    0 0 0 3 0 0 0    
3 0 1 0 0 0 0    0 0 0 0 0 0 0    0 3 0 0 0 0 0    0 0 0 0 0 0 0    0 0 0 0 0 0 0    
0 0 0 0 0 0 0    0 0 0 0 0 0 0    0 0 1 0 0 0 0    0 0 0 0 3 0 0    0 0 3 0 0 0 0    


**************************************************************************************
Worker:13
Weekend:3
0 0 0 0 0 0 0    0 0 1 3 0 0 0    3 0 3 0 0 3 3    0 0 2 0 0 0 0    2 0 0 0 0 0 0    
0 0 0 3 0 0 0    3 0 0 0 0 0 0    0 0 0 0 0 0 0    0 0 0 0 0 0 0    0 0 0 0 0 0 0    
1 0 0 0 0 0 0    0 0 0 0 0 0 0    0 0 0 0 0 0 0    0 0 0 0 0 0 0    0 0 3 0 0 0 0    
0 3 0 0 0 0 0    0 3 0 0 0 0 0    0 3 0 0 3 0 0    0 3 0 0 0 0 0    0 3 0 0 0 0 0    


**************************************************************************************
Worker:14
Weekend:1
3 0 0 0 0 0 0    0 0 0 0 0 0 0    0 0 0 0 0 0 0    2 0 0 0 3 0 0    0 0 0 0 0 0 0    
0 0 0 0 0 0 0    0 0 0 0 0 0 0    0 0 0 0 3 0 0    0 0 0 0 0 0 0    0 0 0 0 3 0 0    
0 3 0 0 0 0 0    0 0 0 3 0 0 0    3 0 0 3 0 0 0    0 0 0 3 0 0 0    0 3 0 3 0 0 0    
0 0 5 0 3 0 0    0 0 3 0 0 0 0    0 0 5 0 0 0 0    0 0 3 0 0 0 0    0 0 5 0 0 0 0    


**************************************************************************************
Worker:16
Weekend:1
2 0 0 0 0 0 0    0 0 3 0 0 0 0    0 0 3 0 0 0 0    3 0 0 0 2 0 0    0 0 0 0 0 0 0    
0 0 0 0 0 0 0    3 0 0 0 0 0 0    3 0 0 0 0 0 0    0 0 0 0 0 0 0    3 0 0 0 0 0 0    
0 0 0 3 0 0 0    0 0 0 0 0 0 0    0 0 0 3 0 0 0    0 0 0 1 0 0 0    0 0 1 3 0 0 0    
0 1 0 0 1 0 0    0 3 0 0 0 0 0    0 3 0 0 0 0 0    0 1 0 0 0 0 0    0 3 0 0 0 0 0    
