1000 iterations. No infeasibilities. Best results obtained for [1,10,1] (11.96) 
next best [1,10,10] (11.66).
Worst [0,0,0] (8.57), second worst [10,10,1] (10.78)

2016_5_19 17:2:59
With weights: 0.047619, 0.47619, 0.47619
Number of infeasible solutions:0
Min num lib/ass: (88) 1, 2. Cost: 7    ObjFun value: 29.415
Min num lib/ass: (89) 2, 0. Cost: 10    ObjFun value: 29.415
Min num lib/ass: (90) 1, 2. Cost: 7    ObjFun value: 29.414
Min num lib/ass: (91) 1, 2. Cost: 7    ObjFun value: 29.414
Min num lib/ass: (92) 2, 0. Cost: 10    ObjFun value: 29.415
Min num lib/ass: (93) 1, 2. Cost: 7    ObjFun value: 29.414
Min num lib/ass: (94) 1, 2. Cost: 7    ObjFun value: 29.415
Min num lib/ass: (95) 3, 0. Cost: 15    ObjFun value: 29.415
Min num lib/ass: (96) 1, 0. Cost: 5    ObjFun value: 29.415
Min num lib/ass: (97) 3, 0. Cost: 15    ObjFun value: 29.8902
Min num lib/ass: (98) 3, 0. Cost: 15    ObjFun value: 29.415
Min num lib/ass: (99) 2, 2. Cost: 12    ObjFun value: 29.415

Average cost:11.29

2016_5_19 17:2:59
With weights: 0.47619, 0.47619, 0.047619
Number of infeasible solutions:0
Min num lib/ass: (0) 3, 0. Cost: 15    ObjFun value: 26.6901
Min num lib/ass: (1) 0, 2. Cost: 2    ObjFun value: 26.6901
Min num lib/ass: (2) 3, 0. Cost: 15    ObjFun value: 26.7389
Min num lib/ass: (3) 3, 0. Cost: 15    ObjFun value: 26.6901
Min num lib/ass: (4) 3, 0. Cost: 15    ObjFun value: 26.6913
Min num lib/ass: (5) 1, 2. Cost: 7    ObjFun value: 26.6901
Min num lib/ass: (6) 2, 0. Cost: 10    ObjFun value: 26.6901
Min num lib/ass: (7) 2, 0. Cost: 10    ObjFun value: 26.6913
Min num lib/ass: (8) 3, 0. Cost: 15    ObjFun value: 26.6901
Min num lib/ass: (9) 1, 2. Cost: 7    ObjFun value: 26.6913
Min num lib/ass: (10) 2, 0. Cost: 10    ObjFun value: 26.6901
Min num lib/ass: (11) 1, 0. Cost: 5    ObjFun value: 26.6901
Min num lib/ass: (12) 1, 2. Cost: 7    ObjFun value: 26.6901
Min num lib/ass: (13) 2, 0. Cost: 10    ObjFun value: 26.6901
Min num lib/ass: (14) 1, 2. Cost: 7    ObjFun value: 26.6901
Min num lib/ass: (15) 1, 2. Cost: 7    ObjFun value: 26.7377
Min num lib/ass: (16) 3, 0. Cost: 15    ObjFun value: 26.7377
Min num lib/ass: (17) 3, 0. Cost: 15    ObjFun value: 26.6901
Min num lib/ass: (18) 3, 0. Cost: 15    ObjFun value: 26.6901
Min num lib/ass: (19) 2, 2. Cost: 12    ObjFun value: 26.6901
Min num lib/ass: (20) 2, 2. Cost: 12    ObjFun value: 26.6913
Min num lib/ass: (21) 2, 2. Cost: 12    ObjFun value: 26.6901
Min num lib/ass: (22) 1, 2. Cost: 7    ObjFun value: 26.6913
Min num lib/ass: (23) 3, 0. Cost: 15    ObjFun value: 26.6901
Min num lib/ass: (24) 2, 0. Cost: 10    ObjFun value: 26.6913
Min num lib/ass: (25) 2, 0. Cost: 10    ObjFun value: 26.6901
Min num lib/ass: (26) 2, 0. Cost: 10    ObjFun value: 26.6913
Min num lib/ass: (27) 3, 0. Cost: 15    ObjFun value: 26.6901
Min num lib/ass: (28) 2, 0. Cost: 10    ObjFun value: 26.6913
Min num lib/ass: (29) 2, 2. Cost: 12    ObjFun value: 26.6901
Min num lib/ass: (30) 2, 2. Cost: 12    ObjFun value: 26.7377
Min num lib/ass: (31) 2, 0. Cost: 10    ObjFun value: 26.6913
Min num lib/ass: (32) 2, 0. Cost: 10    ObjFun value: 26.6913
Min num lib/ass: (33) 1, 2. Cost: 7    ObjFun value: 26.6913
Min num lib/ass: (34) 1, 2. Cost: 7    ObjFun value: 26.6913
Min num lib/ass: (35) 2, 0. Cost: 10    ObjFun value: 26.6913
