Iteration, weekend objf, stand in cost, shift avail cost, day avail cost, aver_stand_in, aver_shift, aver_day. 
203,33.9433,23,27,33,8.7,7.48241,11.06
204,33.9433,23,27,33,8.7,7.48241,11.06
205,33.9433,22,27,31,8.7,7.48241,11.06
206,33.9433,22,26,31,8.68,7.46734,11.04
207,33.9433,23,27,32,8.7,7.48241,11.06
208,33.9433,21,27,32,8.68,7.47739,11.06
209,33.9433,23,27,33,8.7,7.48241,11.06
210,33.9433,23,27,32,8.7,7.48241,11.06
211,33.9433,22,26,30,8.7,7.48241,11.06
212,33.9433,22,27,31,8.7,7.48241,11.06
213,33.9433,22,27,32,8.7,7.48241,11.06
214,33.9433,23,25,32,8.72,7.49749,11.08
215,33.9433,22,27,32,8.7,7.48241,11.06
216,33.9433,21,27,31,8.7,7.48241,11.06
217,33.9433,23,27,32,8.7,7.48241,11.06
218,33.9433,23,27,33,8.7,7.48241,11.06
219,33.9433,23,27,33,8.7,7.48241,11.06
220,33.9433,23,27,32,8.7,7.48241,11.06
221,33.9433,22,27,32,8.7,7.48241,11.06
222,33.9433,23,27,31,8.7,7.48241,11.06
223,33.9335,22,27,33,8.7,7.48241,11.06
224,33.9335,22,27,31,8.7,7.48241,11.06
225,33.9335,22,25,31,8.7,7.48241,11.06
226,33.9335,21,27,32,8.7,7.48241,11.06
227,33.9335,22,27,32,8.7,7.48241,11.06
228,33.9335,22,27,32,8.7,7.48241,11.06
229,33.9335,21,27,32,8.7,7.48241,11.06
230,33.9335,22,27,33,8.7,7.48241,11.06
231,33.9335,22,27,33,8.7,7.48241,11.06
232,33.9335,22,27,32,8.7,7.48241,11.06
233,33.9335,22,25,31,8.68,7.46734,11.04
234,33.9335,22,27,33,8.7,7.48241,11.06
235,33.9335,22,27,31,8.7,7.48241,11.06
236,33.9335,22,27,33,8.68,7.47739,11.06
237,33.9335,22,26,31,8.68,7.47739,11.06
238,33.9335,20,27,32,8.68,7.47739,11.06
239,33.9335,22,27,32,8.68,7.47739,11.06
240,33.9335,22,27,31,8.68,7.47739,11.06
241,33.9335,22,26,30,8.68,7.47739,11.06
242,33.9335,22,27,31,8.66,7.46231,11.04
243,33.9335,22,27,33,8.68,7.47739,11.06
244,33.9335,20,27,31,8.7,7.48241,11.06
245,33.9237,21,27,33,8.68,7.47739,11.06
246,33.9237,21,27,32,8.68,7.47739,11.06
247,33.9237,21,27,33,8.68,7.47739,11.06
248,33.9237,21,27,32,8.68,7.47739,11.06
249,33.9355,22,27,33,8.7,7.49246,11.08
250,33.9355,21,26,31,8.7,7.49246,11.08
251,33.9355,22,26,31,8.7,7.48241,11.06
252,33.9355,22,27,30,8.7,7.49246,11.08
253,33.9355,22,27,31,8.7,7.49246,11.08
254,33.9355,22,27,33,8.7,7.49246,11.08
255,33.9355,22,27,31,8.7,7.49246,11.08
256,33.9355,21,27,32,8.7,7.49246,11.08
257,33.9355,22,26,31,8.7,7.49246,11.08
258,33.9355,24,27,32,8.68,7.47739,11.06
259,33.9355,23,27,32,8.68,7.47739,11.06
260,33.9257,21,27,33,8.7,7.49246,11.08
261,33.9257,21,27,32,8.7,7.49246,11.08
262,33.9257,21,27,33,8.7,7.49246,11.08
263,33.9159,20,27,33,8.7,7.49246,11.08
264,33.9159,23,27,30,8.68,7.47739,11.06
265,33.9159,20,27,33,8.7,7.49246,11.08
266,33.9159,20,27,32,8.68,7.47739,11.06
267,33.9159,20,27,32,8.7,7.49246,11.08
268,33.9159,23,27,32,8.7,7.49246,11.08
269,33.9159,20,27,32,8.7,7.49246,11.08
270,33.9159,20,27,32,8.7,7.49246,11.08
271,33.9257,21,27,33,8.7,7.49246,11.08
272,33.9257,23,27,32,8.7,7.49246,11.08
273,33.9257,21,27,33,8.7,7.49246,11.08
274,33.9257,21,27,33,8.72,7.49749,11.08
275,33.9257,21,27,32,8.72,7.49749,11.08
276,33.9453,23,27,33,8.72,7.49749,11.08
277,33.9453,23,27,32,8.72,7.49749,11.08
278,33.9453,23,27,31,8.7,7.48241,11.06
279,33.9257,22,26,33,8.72,7.49749,11.08
280,33.9061,21,25,33,8.72,7.49749,11.08
281,33.9061,21,25,32,8.72,7.49749,11.08
282,33.9061,21,25,32,8.72,7.49749,11.08
283,33.9061,21,25,32,8.72,7.49749,11.08
284,33.9257,22,26,33,8.72,7.49749,11.08
285,33.9257,22,26,32,8.72,7.49749,11.08
286,33.9159,21,26,33,8.72,7.49749,11.08
287,33.9257,21,27,33,8.72,7.49749,11.08
